id;localisation_name;localisation_latitude;localisation_longitude;localisation_country;localisation_town;localisation_region;localisation_locality;is_site
1;purple;40635;26032;backing up Optimization optical;programming;Credit Card Account;Fresh maroon markets;true
2;Handcrafted;3312;12977;Implementation Mexican Peso Mexican Unidad de Inversion (UDI);Diverse;input Licensed Cotton Bike Soft;Global Handcrafted Granite Car;true
3;Cambridgeshire matrix withdrawal;42323;84630;withdrawal holistic SQL;Wooden Bolivia;executive;expedite Personal Loan Account;false
4;digital North Dakota;83751;85349;Frozen AI Exclusive;Implemented COM Sleek Steel Shoes;Personal Loan Account Tunnel;PNG Shirt matrix;true
5;e-business Versatile;94226;61379;Wooden vertical;Balanced engage;Unbranded Cotton Computer calculate Sleek Metal Salad;online;false
6;Refined Fresh Cheese Bedfordshire;20007;42918;UAE Dirham Administrator Licensed;Dong Internal;Pennsylvania bypass;Future back up Health;true
7;Centralized Prairie Cape;85293;30951;JBOD;Licensed Rubber Cheese Research Industrial;card;action-items Executive;true
8;Representative;87794;65365;Barbados Dollar Bedfordshire;Ball Street;Massachusetts;relationships invoice Credit Card Account;true
9;Music open-source;60421;94775;card;invoice wireless parsing;Saudi Arabia;Court mission-critical Chicken;true
10;Tanzanian Shilling Administrator copying;26359;87064;Forward Azerbaijanian Manat;Intelligent Wooden Tuna;function;Planner;false
